L1				L2				L3				L4				L5				L6				L7			
?1	Distance	tmax (s)	tland (s)	?2	Distance	tmax (s)	tland (s)	?3	Distance	tmax (s)	tland (s)	?4	Distance	tmax (s)	tland (s)	?5	Distance	tmax (s)	tland (s)	?6	Distance	tmax (s)	tland (s)	?7	Distance	tmax (s)	tland (s)
	51	2.76	7.2	40	43	3.14	9.69	40	49.5	2.47	8.32	40	41	2.89	10.07	40	41.8	3.03	11.49	30	52	2.42	12.09	30	90	4.14	6
30	45	2.95	7.42	30	49	3.54	10.3	30	51	4.46	8.27	30	42	4.46	14.68	30	47	2.63	11.32	40	36	3.36	11.33	40	70		
50	44	3.17	7.58	50	34	3.39	10.54	50	36	4.27	9.87	50	36	2.7	10.31	50	38	3.36	14.15	50	35	2.55	10.89	50	70		
	Y distance	2.96	7.18		Y distance	3.28	9.82		Y distance	3.8	8.17		Y distance	2.81	10.03		Y distance	2.91	11.82		Y distance	2.44	11.68				
	49	2.88	8.39		37.3	3.63	11.87		46.5	2.81	8.85		34.77	2.17	10.07		35.76	3.11	11.48		38.4	3.4	11.07		Y distance		
	30	3	7.4		34.51	2.92	9.75		35.75	2.81	8.09		27.01	2.82	10.25		32.17	3.16	11.56		29.06	2.74	11.03		109.89		
	48.28	2.89	7.2		33.73	2.77	9.69		36.33	2.5	8.32		36.33	3.56			39.06	3.12	12.37		35.01	2.58	11.18		137.37		
						3.15				2.59								5.24				2.64	11.24				
						3.04				2.82												2.89					
	y max				y max				y max				y max				y max				y max						
Average	42.42666667	2.944285714	7.481428571		35.18	3.206666667	10.23714286		39.52666667	3.17	8.555714286		32.70333333	3.058571429	10.90166667		35.66333333	3.32	12.02714286		34.15666667	2.78	11.31375		123.63	4.14	6
Std dev	10.76782863	0.126076319	0.427177893		1.876938997	0.282311884	0.792879022		6.046042783	0.784856675	0.62880461		4.991886751	0.739446382	1.854383096		3.446017025	0.804096654	0.997759395		4.728110969	0.369492896	0.392753558		19.43129435		
																											
																											
																											
	Average between landings																										
	t ymax	3.231360544																									
	t land	9.502406463																									
	y max	36.60944444																									
